,0
0,173635.45407679677
1,514523.79614907503
2,353959.640762195
3,329388.390792042
4,495378.34331689775
5,605608.7958421707
6,125869.98126016557
7,1310939.191223383
8,495507.8591698259
9,307500.5228227526
10,668109.1467593312
11,214267.2853988111
12,838676.3588985801
13,315812.10100357234
14,704226.4460594654
15,490721.05000552535
16,217776.80414769053
17,1905292.4113219827
18,810112.7768857181
19,1115445.0552502126
20,1077531.2996370196
21,400047.1517240107
22,532937.9619160146
23,812356.945317477
24,1248946.9189773798
25,223204.7574263662
26,509148.1485788524
27,308343.99679777026
28,590862.6518616378
29,496875.51176550984
30,407048.4545029104
31,683157.1632715911
32,490402.4593168646
33,330556.6287509799
34,467901.4339028746
35,386919.70384548604
36,322568.30861103535
37,619418.7272906452
38,515922.3241570443
39,392828.49118970335
40,668546.4729629457
41,378214.1428321153
42,461050.9325027764
43,1908999.4828294665
44,460192.83832752705
45,420135.70135337114
46,606185.1676744521
47,995989.1363506317
48,818869.5406950712
49,1283710.6508316994
50,750735.4546122849
51,412704.2080257386
52,638252.2027586699
53,382167.88499741256
54,548788.2127933204
55,589117.2345236242
56,681477.7672137916
57,352630.2235544175
58,1353193.315033421
59,436816.9230583906
60,267199.26115329564
61,482491.6887919009
62,728742.5715116858
63,730270.2770411223
64,461170.58428794146
65,477246.50041897595
66,775684.8955103606
67,435499.68492794037
68,200398.81215000153
69,1326829.4645331502
70,575802.6473218799
71,794665.2808854282
72,519782.7149004042
73,116430.36812277138
74,1719631.0839394778
75,902396.326854527
76,365174.1166344881
77,402056.6480553895
78,376431.0247384608
79,515757.59279182553
80,571532.2345100045
81,237173.7543462813
82,683643.2515521944
83,459961.1496193409
84,462305.68010626733
85,266589.1894439161
86,602757.9727517515
87,558759.9753507078
88,769480.1400186121
89,491118.4881003201
90,606815.376818344
91,358243.4918374568
92,270919.0843859166
93,304848.32875959575
94,309403.91661706567
95,430294.27557328343
96,800655.1783963144
97,1239632.9450451732
98,431337.7074250728
99,525791.5747951567
100,581062.1876024604
101,685124.5210123062
102,690070.9602603912
103,195756.04755680263
104,462377.61664003134
105,479526.11550465226
106,141214.9739368558
107,325397.30246655643
108,156917.48233668506
109,525201.2786247879
110,1249913.8137862682
111,133524.0872527063
112,236288.0394294858
113,219695.6379890144
114,624365.8664539903
115,244958.8250437081
116,707491.257953167
117,1532248.934367597
118,429368.68070855737
119,345129.38984142244
120,398412.49775096774
121,738952.347159341
122,376100.9851115942
123,500085.7392807007
124,265018.7012270391
125,440581.3850796968
126,257853.40511894226
127,631941.3081464022
128,387258.20424973965
129,473321.05672101676
130,423876.70409819484
131,504681.41089497507
132,407641.0235849619
133,462205.8152118325
134,199502.65562045574
135,630999.4257706106
136,378509.11696255207
137,513083.88390286267
138,662465.0046839118
